State,Severity,StateCount
AL,1,5
AL,2,14158
AL,3,4883
AL,4,190
AR,2,556
AR,3,238
AR,4,197
AZ,1,6
AZ,2,19497
AZ,3,4154
AZ,4,874
CA,1,18
CA,2,168520
CA,3,42791
CA,4,1978
CO,1,2
CO,2,7979
CO,3,8328
CO,4,1278
CT,1,2
CT,2,2615
CT,3,2435
CT,4,402
DC,1,1
DC,2,1112
DC,3,231
DC,4,141
DE,1,1
DE,2,1388
DE,3,92
DE,4,139
FL,1,15
FL,2,38554
FL,3,18719
FL,4,3015
GA,1,7
GA,2,11152
GA,3,10345
GA,4,2207
IA,1,1
IA,2,1191
IA,3,1417
IA,4,234
ID,2,439
ID,3,50
ID,4,63
IL,2,12492
IL,3,6599
IL,4,873
IN,1,3
IN,2,3934
IN,3,3144
IN,4,685
KS,2,804
KS,3,1072
KS,4,119
KY,1,1
KY,2,3847
KY,3,2783
KY,4,201
LA,1,6
LA,2,15036
LA,3,3630
LA,4,303
MA,1,2
MA,2,5561
MA,3,3711
MA,4,73
MD,1,7
MD,2,6949
MD,3,4182
MD,4,1311
ME,1,1
ME,2,579
ME,3,25
ME,4,31
MI,1,6
MI,2,12198
MI,3,6598
MI,4,1547
MN,1,5
MN,2,21572
MN,3,7825
MN,4,117
MO,2,3531
MO,3,5168
MO,4,426
MS,1,1
MS,2,1211
MS,3,691
MS,4,82
MT,2,92
MT,3,27
MT,4,38
NC,1,15
NC,2,38727
NC,3,6478
NC,4,768
ND,2,4
ND,3,5
ND,4,8
NE,1,2
NE,2,3831
NE,3,720
NE,4,88
NH,1,1
NH,2,1725
NH,3,461
NH,4,31
NJ,1,5
NJ,2,8864
NJ,3,3423
NJ,4,714
NM,2,787
NM,3,704
NM,4,125
NV,1,1
NV,2,1964
NV,3,947
NV,4,90
NY,1,5
NY,2,28535
NY,3,12886
NY,4,1510
OH,1,1
OH,2,8341
OH,3,4327
OH,4,562
OK,1,4
OK,2,18544
OK,3,1861
OK,4,71
OR,1,2
OR,2,37528
OR,3,2655
OR,4,966
PA,1,6
PA,2,14101
PA,3,5034
PA,4,958
RI,2,1501
RI,3,1441
RI,4,31
SC,1,26
SC,2,47874
SC,3,10659
SC,4,431
SD,2,2
SD,3,2
SD,4,23
TN,1,4
TN,2,14896
TN,3,5791
TN,4,440
TX,1,19
TX,2,57573
TX,3,20097
TX,4,1017
UT,2,20447
UT,3,3659
UT,4,509
VA,1,10
VA,2,14831
VA,3,9507
VA,4,1355
VT,2,152
VT,3,52
VT,4,21
WA,1,10
WA,2,7999
WA,3,5649
WA,4,1027
WI,1,1
WI,2,4058
WI,3,2175
WI,4,652
WV,2,296
WV,3,76
WV,4,101
WY,2,26
WY,3,43
WY,4,43
